账号,内容,时间,转发数,评论数 
我把小天狼星按在床上说,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 ,评论 
无锡经济广播,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 11:05, 转发 1,评论 
攀枝花晚报,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@紧急呼叫L新京报我们视频的秒拍视频收起全文d,2019年12月28日 11:03, 转发 ,评论 
成都T意大利炮,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 11:03, 转发 ,评论 
一只自由的猪,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 ,评论 
麦青黄Mason,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 ,评论 
橘橘爱吃肉肉肉肉,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@紧急呼叫L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:09, 转发 ,评论 
普湾安波影,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 ,评论 
手机数码集中营,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 ,评论 
有蛀牙的外星人小明,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 ,评论 
灵魂在流浪2014,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 ,评论 
微微万象民生直通车A,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:44, 转发 ,评论 
喜欢如月群真的漫画,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 ,评论 
计组x能示将_a,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 ,评论 
绍兴晚报,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:42, 转发 ,评论 
watson0315,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 ,评论 
乖丶毒心,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 ,评论 
新京报,【#王凤雅案宣判作家陈岚致歉#：未作核实便谴责凤雅妈妈 向其道歉】27日晚，@作家陈岚，在其个人微博中发布道歉声明并置顶称，在凤雅的救助案中，未作核实便在微博发文谴责，言辞激烈，侵犯了杨美芹女士名誉权，她尊重法院判决，向对方道歉。12月2日，王凤雅家属诉陈岚名誉权纠纷案在上海闵行法院开庭宣判，判令陈岚通过新浪微博以置顶30日的方式，向原告杨美芹书面赔礼道歉，同时需赔偿原告杨美芹，精神损害抚慰金5000元和律师费5000元。L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:37, 转发 81,评论 111
攀枝花日报,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@紧急呼叫L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:31, 转发 ,评论 
安琪_Winnie,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@紧急呼叫L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:09, 转发 ,评论 
上海城事资讯,【#王凤雅案宣判后陈岚致歉#：未作核实便谴责凤雅妈妈】12月27日，@作家陈岚发布道歉声明称，在凤雅的救助案中，未作核实便发文谴责，侵犯了杨美芹女士名誉权，向对方道歉。12月2日，该案在上海闵行法院开庭宣判，判令陈岚向原告杨美芹赔礼道歉，同时需赔偿原告杨美芹精神损害抚慰金和律师费。@新京报我们视频L新京报我们视频的秒拍视频收起全文d,2019年12月28日 10:16, 转发 ,评论 1
